Country,2022,2021,2020,2019,2018,2017
Finland,83.7,84.7,84.1,83.8,83.6,83.4
Ireland,81.7,81.8,81.1,80.7,81,81.8
Norway,80.5,82.6,82.2,79.3,78.7,79.4
France,80.2,82.1,84.3,82.5,82,81.8
Netherlands,80.1,80.3,80.9,79.3,79.5,83.6
Japan,79.5,79.5,78.9,79.3,79.2,80.5
Canada,79.1,78.7,80.2,80.4,82.1,84.2
Sweden,79.1,80.5,80.3,77.8,77.3,77.8
United Kingdom,78.8,78.3,78.3,79.2,80.7,79.9
Portugal,78.7,80.4,79.4,78.6,78.2,79.3
Switzerland,78.2,78.4,78.2,78.6,77.9,81.6
Austria,78.1,78.5,77.7,78,78.7,78.2
United States,78,77.3,76.2,77.3,77.1,76.7
Denmark,77.8,78.3,80,79,77.9,76.9
New Zealand,77.8,78.2,78.1,78,78.6,77.6
Czech Republic,77.7,78.8,78.7,76.4,78,76
Belgium,77.5,80.5,81.5,79.2,77.8,78
Costa Rica,77.4,77.1,78.2,79.9,78.1,80.3
Germany,77,76.7,75.4,75.5,75.8,74.9
Spain,75.7,74.8,73.1,74.2,73.4,74.3
Poland,75.5,76,76.5,75.5,78,77.8
Australia,75.4,80.1,81.7,75.1,73.7,74.7
United Arab Emirates,75.2,76.8,78.3,77.5,78.8,86.5
Israel,74.8,76.5,78.4,76.1,75.5,77.7
Chile,74.2,74,74.1,72.7,73,74.8
China,74.2,77.8,81.7,75,76.8,78
Italy,74,73.9,72.8,73.4,73.8,73.2
Singapore,73.1,73.4,71.8,71.5,73.8,76
Bulgaria,73,73.8,78.1,77.8,79.6,77.7
Qatar,72.4,70.2,68.6,71,71.8,71.8
Greece,72.2,71.9,68.5,68.7,68,68
Kazakhstan,72.1,73.5,74,73,76,78.2
Uruguay,71.8,74.4,72.1,69.4,68.3,73.1
Hungary,71.4,74.3,74.6,71.8,71.7,70.1
Oman,71.2,70.1,69.3,70.2,69.1,71.1
Slovakia,71.1,71.2,72.5,71.9,72.3,67.5
Peru,70.8,68.5,66.3,66.9,69.7,69.4
Bahrain,70.3,71.3,73,71.2,71.1,74.5
South Korea,70.2,71.5,71.6,71.2,72,72.3
Panama,70,65.8,60.9,65.5,68.5,69.6
Malaysia,69.9,68.3,70.3,71.2,72.6,73
Saudi Arabia,69.9,71.6,72.4,74.8,72.5,73.7
Mexico,69.1,67.3,66,69.4,72.6,70
Russia,69.1,66.5,64.4,67.3,67.3,70.4
Romania,68.8,68.3,65.4,67.1,68.4,66.7
Vietnam,67.9,73.1,75.5,70.2,68.5,71.8
Jordan,66.2,66.8,67.7,68.3,67.1,66.5
Ecuador,65.6,66.3,66.6,65,64.8,67.1
Turkey,65.3,65,68.8,66.2,65.4,63.3
Kuwait,65.2,62.4,59.2,61.7,62.4,65.7
Brazil,65.1,64,61,58.4,56.6,60.3
Bolivia,65,65.3,65.5,64.4,64.6,64.6
Dominican Rep.,65,65.2,64.8,65,64.4,65.7
Argentina,64.8,64.9,64.2,67.3,65.1,65.6
Belarus,64.5,59.9,55,57.4,59.3,63.9
El Salvador,64.2,66.1,69.5,65.6,65.5,67.6
Morocco,63,61.7,59.8,64.6,62.5,68.1
Guatemala,62.8,66.5,68,65.9,63.6,63.1
South Africa,61.7,58.5,55.7,57.3,57.6,59.1
Honduras,61.5,60.7,60.5,60.9,61.2,63.2
Serbia,61.4,60.8,61,61.9,62.6,61.5
Tunisia,60.3,60.2,61.2,61.4,61.5,60.2
Indonesia,60.2,60.6,59.2,58.9,56.8,60.4
Colombia,60.1,57.2,52.4,49.2,48.2,52.8
Thailand,60.1,58.1,56.8,57.8,58.5,59.5
Azerbaijan,59.8,58.8,55.3,57.2,61.4,60.6
Philippines,59.3,59,57.7,58.9,59.3,61.1
Algeria,58.9,55.3,53.1,59.7,59.3,59.5
India,58.9,59.4,58.2,56.7,56,57
Paraguay,58.6,52.6,45.3,55.2,56.6,57.5
Ukraine,57.9,55.2,55.3,60.3,63.4,61.3
Myanmar,57.6,56.9,59.8,59,58,61.2
Uzbekistan,57.5,60.5,64.9,63.6,62.9,57.3
Nepal,56.9,58.7,59.6,57.3,57,59.7
Tajikistan,56.7,59,60.7,57.4,61.1,60.4
Nicaragua,56.6,55.6,54.6,57.5,56.4,56.9
Egypt,56,53.5,54,57.2,61.1,58.8
Cambodia,55.7,56.4,59.4,55.2,52.5,55.3
Sri Lanka,55.2,54.9,52.8,50.7,53,50.3
Bangladesh,54,54.4,54.2,53.2,51.5,50.9
Laos,53.1,57.2,57.1,53.9,51.8,52.7
Kenya,53,53.4,54.5,52.6,55.3,54.8
Ghana,52.6,51,47,49.8,48.7,51.2
Pakistan,52.2,54.4,55.2,50.3,51,52.3
Mali,51.9,51.8,52.9,53.7,54.1,55.9
Senegal,51.2,51.6,51.9,52,52.4,55.1
Botswana,51.1,47.5,41.8,45.8,47.5,49.2
Rwanda,50.6,56.6,58.7,54.2,58.8,60.2
Burkina Faso,49.6,47.4,46.2,48.1,48.6,49.2
Tanzania,49.1,50,50.5,51.3,53,51.3
Benin,48.1,49.6,49.1,49.8,49.8,49.5
Malawi,48.1,50.9,52.8,49.6,51.5,56.5
Uganda,47.7,48.4,48.4,47.4,50.7,47.6
Mozambique,47.3,49.3,48.6,44.7,50.3,52.6
Côte d'Ivoire,46.5,44.6,39.7,42.6,42.2,44.3
Cameroon,46.4,44.4,43.4,45.4,44.7,46.8
Niger,46.3,42.9,37.9,41.3,41.8,42.1
Togo,46.2,43.9,41,44.2,44.6,45.1
Guinea,45.1,43.8,43.5,45.7,46.1,46.5
Ethiopia,44.5,46.3,49.1,43.2,42.5,41
Angola,43.7,41.9,42,45,46.8,48.2
Zambia,43.5,42.3,39.2,41.5,41.5,45.5
Chad,43.2,44,44.5,42.5,44.1,44
Congo (Dem. Rep.),43,41.5,40,41.4,44.5,41.9
Sudan,42.8,46.8,50.5,44.7,45.5,45.1
Venezuela,42.6,41.2,38.5,39.8,37.7,37
Nigeria,42,37.2,33.4,36.6,39.3,37.3
Burundi,40.6,41.9,40.6,41.8,48.4,38.8
Madagascar,40.6,37.9,36.7,43.6,42.8,42.1
Sierra Leone,40.5,38.1,32.9,38.6,40.9,36.5
Yemen,40.1,40.4,40.6,42.1,41.3,40.8
Haiti,38.5,38.5,40.8,39.1,35.3,34.6
Syria,36.3,36.4,34.2,27.6,32.7,34.3
